,0->0->3->4[0_0],0->0->0->4[1_0],0->2->3->4[2_0],0->2->0->4[3_0],0->0->3->0[4_0],0->0->0->0[5_0],0->2->3->0[6_0],0->2->0->0[7_0],0->5->5->2[8_0],0->0->6->3[9_0],0->2->6->3[10_0],0->5->6->3[11_0],0->5->5->3[12_0],1->0->3->4[13_0],1->0->0->4[14_0],1->0->3->0[15_0],1->0->0->0[16_0],1->0->6->3[17_0],2->0->3->4[18_0],2->0->0->4[19_0],2->2->3->4[20_0],2->2->0->4[21_0],2->0->3->0[22_0],2->0->0->0[23_0],2->2->3->0[24_0],2->2->0->0[25_0],2->5->5->2[26_0],2->0->6->3[27_0],2->2->6->3[28_0],2->5->6->3[29_0],2->5->5->3[30_0],3->3->2->0[31_0],3->0->3->4[35_0],3->0->0->4[36_0],3->0->3->0[37_0],3->0->0->0[38_0],3->0->6->3[39_0]
27,Target145,Target207,Target32,HK97,Target41,HK97,Target258,Target105,Target78,HK53,Target265,HK65,,Target232,Target207,Target84,HK53,HK37,HK61,HK96,Target258,Target105,Target117,Target265,HK29,Target216,Target222,HK53,Target189,Target83,,HK39,Target202,Target223,Target7,Target82,Burn5_TF1
28,Target87,Target108,Target292,HK96,HK97,HK96,Target271,Target117,HK83,Target22,Target64,Target55,,Target225,Target219,Target180,Target78,Target108,Target112,Target59,Target271,Target117,Target160,Target160,Target269,Target27,Target146,Target22,Target265,HK57,,Burn1_TF1,Target201,HK65,Burn5_TF1,HK89,HK69
29,HK61,HK53,Burn1_TF1,Target59,Target59,Target59,Target173,Target265,Target150,Target78,Target292,HK69,,Target145,Target108,Target117,HK83,HK53,HK59,Target105,Target190,Target265,HK94,Target45,Target212,Target271,Burn5_TF1,Target78,Target64,Target275,,HK56,Target160,Target215,HK69,Target175,Target38
30,Target112,Target78,Target65,Target105,Target117,Target105,Target210,Target32,Target211,HK83,Target160,HK29,,Target87,HK53,HK100,Target117,Target22,Target147,Target117,Target218,Target160,Target216,Target65,HK82,Target55,HK93,HK83,Target292,Target34,,HK94,Target216,HK69,Target38,Target36,Target83
31,HK59,HK83,Target162,Target117,Target160,Target117,Target218,Target160,Target180,Target211,Burn1_TF1,Target38,,Target112,Target78,A2_TF1,HK100,Target78,HK76,Target265,Target173,Target65,C4_TF1,Target216,Target70,Target17,HK100,Target84,Target160,Target186,,HK30,HK33,B2_TF1,Target57,Target168,HK57
32,Target147,Target117,Target258,Target265,HK94,Target265,Target55,Target65,B4_TF1,Target180,C4_TF1,Target118,,Target147,HK83,Target220,Target107,HK83,HK74,Target160,Target55,Target216,Target27,Target27,Burn2_TF1,HK69,Target192,Target180,Burn1_TF1,A1_TF1,,Target271,C4_TF1,HK8,Target83,Target213,HK89
33,HK76,HK65,Target271,Target32,C4_TF1,Target32,Target17,Target162,HK29,HK65,Target166,Target268,,HK76,Target117,HK81,A2_TF1,Target211,HK16,Target45,Target17,Target27,HK98,Target271,HK91,Target106,Target83,Target46,C4_TF1,Target209,,HK15,Target166,HK80,HK89,A2_TF1,Target82
34,HK74,HK100,Target190,Target160,Target166,Target160,HK29,Target166,Target268,HK29,Target284,Target82,,HK74,HK65,HK3,Target220,Target84,Target79,Target65,Target221,Target271,Target227,Target55,Target250,HK89,Target175,HK65,Target284,Target263,,HK26,Target227,Target82,Target175,Target220,Target99
35,HK16,Target268,Target210,Target65,Target27,Target65,Target163,Target27,Target107,HK100,Target271,HK89,,Target79,HK100,Target71,HK47,Target180,Target174,Target216,HK29,Target190,Target7,Target17,Target274,Target175,Target212,HK29,Target271,Target87,,Target55,HK65,HK89,Target81,Target232,Target36
36,Target79,Target107,Target218,Target162,HK98,Target162,Target269,Target271,A2_TF1,Target268,Target173,Target99,,Target174,Target268,Target109,HK81,Target46,Target272,Target27,Target269,HK65,Burn5_TF1,HK69,HK47,Target36,Target81,HK100,Target173,Target277,,Target222,Target215,Target175,Target36,HK47,Target208
