module,n_genes,best_adjp,neglogp,n_sig,is_sig,method,dataset
28,60,0.1175475720642231,0.9297863367644772,0,False,GTra,HSPC
29,60,0.1502392042559492,0.8232167253186823,0,False,GTra,HSPC
0,60,0.1838799095006608,0.7354657186664164,0,False,baseline,HSPC
1,60,0.0078210328088562,2.106735892263739,2,True,baseline,HSPC
2,60,0.1965141029987605,0.7066062766638367,0,False,baseline,HSPC
3,60,0.0515737484185652,1.2875713025987503,0,False,baseline,HSPC
4,60,0.0562106825515135,1.250181141151535,0,False,baseline,HSPC
5,60,1.5625209708005262e-10,9.806174145221114,35,True,baseline,HSPC
6,60,0.00010498675949022924,3.9788654689578427,52,True,baseline,HSPC
7,60,0.0101576101378237,1.9932084599698243,2,True,baseline,HSPC
8,60,9.089361212901348e-07,6.041466637290709,91,True,baseline,HSPC
9,60,0.0008898848140409389,3.050666204438061,4,True,baseline,HSPC
10,60,3.854438405636649e-09,8.414038890012561,91,True,baseline,HSPC
11,60,7.529318357532917e-05,4.1232443394648906,12,True,baseline,HSPC
12,60,1.897740813202778e-09,8.721763102278707,21,True,baseline,HSPC
13,60,0.0562246299799363,1.2500733940195092,0,False,baseline,HSPC
14,60,0.0581649339249402,1.2353387609266833,0,False,baseline,HSPC
15,60,2.870413572362356e-21,20.54205552512843,156,True,baseline,HSPC
16,60,0.1107168329870837,0.9557863455381945,0,False,baseline,HSPC
17,56,0.092529902417564,1.0337178958411375,0,False,baseline,HSPC
18,53,0.0234567547905067,1.6297320721038533,35,True,baseline,HSPC
19,50,0.0063997019396672,2.1938402524180156,7,True,baseline,HSPC
20,47,0.1338638857747709,0.8733365725340169,0,False,baseline,HSPC
21,44,5.52355514634828e-13,12.257781305702714,19,True,baseline,HSPC
22,43,0.0604407066936645,1.2186704663819101,0,False,baseline,HSPC
23,42,0.0011460511025502,2.9407960166960727,16,True,baseline,HSPC
24,39,0.0203932705910477,1.6905131182267896,4,True,baseline,HSPC
25,38,0.0054403326956314,2.2643745408424807,6,True,baseline,HSPC
26,37,6.888852999686658e-12,11.161853082500874,19,True,baseline,HSPC
27,37,0.175969865403817,0.7545616981481386,0,False,baseline,HSPC
28,34,0.1084668928665388,0.9647028004280986,0,False,baseline,HSPC
29,33,3.194098454630772e-06,5.495651701333458,28,True,baseline,HSPC
0,60,0.0028507551809092,2.5450400777258024,6,True,GTra,COVID
1,60,2.0355447411145665e-06,5.69131934742085,50,True,GTra,COVID
2,60,5.079033716103484e-05,4.29421890418871,31,True,GTra,COVID
3,60,0.0001917201062346615,3.7173323390318327,11,True,GTra,COVID
4,60,0.0050688418815791,2.295091256030243,27,True,GTra,COVID
5,60,3.0426729727490585e-05,4.516744723212896,132,True,GTra,COVID
6,60,4.181456400783874e-12,11.378672427157966,110,True,GTra,COVID
7,60,0.0004101460445112986,3.387061472471415,144,True,GTra,COVID
8,60,0.0317203304145411,1.4986622975062445,14,True,GTra,COVID
9,60,0.001424879835969,2.8462217593579577,73,True,GTra,COVID
10,60,0.0019878704977305,2.701611911665556,29,True,GTra,COVID
11,60,0.000829115827924574,3.0813847940400505,52,True,GTra,COVID
12,60,0.0225472467234734,1.6469064828683269,4,True,GTra,COVID
13,60,0.0017479406702321,2.757473312564373,10,True,GTra,COVID
14,60,0.0127082846482095,1.8959130661330403,10,True,GTra,COVID
15,60,0.0050226816203664,2.2990643501901027,72,True,GTra,COVID
16,60,0.00014340271393073326,3.8434426294632775,37,True,GTra,COVID
17,60,0.0005128864704189303,3.2899787571633365,45,True,GTra,COVID
18,60,0.0007309853466040032,3.136091328859934,117,True,GTra,COVID
19,60,0.0029792594944564,2.5258916679489767,59,True,GTra,COVID
20,60,5.893104116428456e-10,9.229655885938465,100,True,GTra,COVID
21,60,3.826745532294182e-05,4.417170416164528,25,True,GTra,COVID
22,60,6.203237702794314e-44,43.2073815767209,37,True,GTra,COVID
23,60,2.3889254229017385e-07,6.621797407775361,54,True,GTra,COVID
24,60,0.2025829897219009,0.693397023832881,0,False,GTra,COVID
25,60,0.1050233024396023,0.9787143295192886,0,False,GTra,COVID
26,60,0.0611091113616082,1.21389403167137,0,False,GTra,COVID
27,60,0.0008100556939492964,3.0914851209443763,29,True,GTra,COVID
28,59,7.811655187421547e-06,5.107256935059697,79,True,GTra,COVID
29,59,0.0114185246096518,1.9423900077610181,4,True,GTra,COVID
0,60,1.8589403902612144e-10,9.730734536315078,83,True,baseline,COVID
1,51,1.1064322475391344e-56,55.95607517497737,50,True,baseline,COVID
