module,size,mean_consensus,timepoint,cluster
8,720,0.8196113429145417,13,6
1,471,0.8291425215702218,15,0
2,54,0.6456743535988818,15,0
3,194,0.3552716201057636,15,0
4,29,0.5552216748768473,15,0
5,390,0.82173198866258,15,0
6,63,0.5075576036866359,15,0
7,104,0.3785548917102315,15,0
8,104,0.48370425690814034,15,0
9,311,0.2684534799294679,15,0
10,280,0.26451664106502815,15,0
1,412,0.7902121276545485,15,1
2,218,0.4287599881621782,15,1
3,2,0.28,15,1
4,286,0.38405299963194706,15,1
5,434,0.7439927203839891,15,1
6,446,0.27368488940394015,15,1
7,202,0.3114910595537166,15,1
1,58,0.7618390804597702,15,2
2,394,0.680022991178104,15,2
3,115,0.5357284515636919,15,2
4,107,0.38726855933697757,15,2
5,26,0.6879384615384615,15,2
6,183,0.2851342100522428,15,2
7,80,0.6379113924050633,15,2
8,28,0.5168253968253969,15,2
9,98,0.4245907847675153,15,2
10,525,0.4010908033442385,15,2
11,86,0.5642298221614228,15,2
12,300,0.5298492753623189,15,2
1,447,0.6279965088632737,15,3
2,471,0.7781563897547095,15,3
3,101,0.5186891089108912,15,3
4,199,0.40593472412567894,15,3
5,114,0.46975003881384875,15,3
6,152,0.39697455559428374,15,3
7,221,0.3402682023858494,15,3
8,74,0.343517215845983,15,3
9,32,0.6312903225806452,15,3
10,189,0.36473263537093326,15,3
1,435,0.867920970390381,15,4
2,60,0.5461581920903955,15,4
3,65,0.5538942307692307,15,4
4,143,0.5657362355953905,15,4
5,240,0.3986834030683403,15,4
6,152,0.34956082258626703,15,4
7,413,0.5657062930487318,15,4
8,492,0.2603233818488898,15,4
1,509,0.8628231981807777,15,5
2,46,0.7000193236714976,15,5
3,56,0.6793896103896102,15,5
4,266,0.5490900836998156,15,5
5,81,0.5348950617283951,15,5
6,113,0.6376769911504424,15,5
7,89,0.654535240040858,15,5
8,35,0.6469243697478991,15,5
9,50,0.707265306122449,15,5
10,39,0.6865587044534414,15,5
11,716,0.4357079345235769,15,5
1,707,0.8920885038726457,15,6
2,70,0.4849275362318841,15,6
3,49,0.6306462585034014,15,6
4,503,0.4554876319770619,15,6
5,55,0.46662626262626267,15,6
6,117,0.43378426171529616,15,6
7,499,0.349804025722127,15,6
1,104,0.6306235997012696,17,0
2,350,0.60021711011052,17,0
3,149,0.4935443497188463,17,0
4,100,0.4059232323232323,17,0
