,1-Neurons->1-Neurons->1-Neurons->1-Neurons[0_0],1-Neurons->2-Young neurons->1-Neurons->1-Neurons[1_0],1-Neurons->2-Young neurons->2-Young neurons->1-Neurons[2_0],1-Neurons->2-Young neurons->2-Young neurons->2-Young neurons[3_0],1-Neurons->1-Neurons->3-APs/RPs->1-Neurons[4_0],1-Neurons->1-Neurons->3-APs/RPs->3-APs/RPs[5_0],2-Young neurons->1-Neurons->1-Neurons->1-Neurons[6_0],2-Young neurons->2-Young neurons->1-Neurons->1-Neurons[7_0],2-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[8_0],2-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[9_0],2-Young neurons->1-Neurons->3-APs/RPs->1-Neurons[10_0],2-Young neurons->1-Neurons->3-APs/RPs->3-APs/RPs[11_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[12_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[14_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[15_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[16_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[17_0],4-IPs->4-IPs->4-IPs->1-Neurons[18_0],4-IPs->4-IPs->3-APs/RPs->1-Neurons[19_0],4-IPs->4-IPs->3-APs/RPs->3-APs/RPs[20_0],4-IPs->4-IPs->4-IPs->4-IPs[21_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[22_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[23_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[24_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[25_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[26_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[27_0],6-Young neurons->1-Neurons->1-Neurons->1-Neurons[28_0],6-Young neurons->2-Young neurons->1-Neurons->1-Neurons[29_0],6-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[30_0],6-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[31_0],7-IPs->4-IPs->4-IPs->1-Neurons[32_0],7-IPs->4-IPs->3-APs/RPs->1-Neurons[33_0],7-IPs->4-IPs->3-APs/RPs->3-APs/RPs[34_0],7-IPs->4-IPs->4-IPs->4-IPs[35_0]
54,,A230046K03Rik,Fabp7,Cux1,,,,Col11a1,Blm,Msi2,,,Lrrcc1,9930021J03Rik,Wnk3,,,,,,,,Taf1,,,,,Birc6,,,,Pde7a,Slk,,
55,,Ttc19,Xrcc1,Flrt3,,,,Tbl1x,A830080D01Rik,Birc6,,,Dvl1,Gfod2,D14Abb1e,,,,,,,,Syne2,,,,,Kmt2c,,,,0610011F06Rik,Lig3,,
56,,Lhfpl4,Zfp740,Smarca1,,,,Rabl2,Nkain4,Cbfa2t2,,,Draxin,Zfp40,Rufy2,,,,,,,,,,,,,Celsr2,,,,Smarca1,Tomm34,,
57,,Hes5,Lrrcc1,Msi2,,,,Chd7,Pde7a,Arhgap21,,,Bod1l,Dgcr8,Fam120a,,,,,,,,,,,,,Cbfa2t2,,,,Fgfbp3,Trmt1,,
58,,Jarid2,Nkain4,Cbfa2t2,,,,Rwdd4a,Dvl1,Pard3,,,Pard3,Pam,Pam,,,,,,,,,,,,,Arhgap21,,,,Hook1,,,
59,,Herc2,Pde7a,Dnmt3a,,,,Atad2b,Cald1,Xrn1,,,Tfcp2,Iqcb1,Ankrd17,,,,,,,,,,,,,Ubr1,,,,Ubr1,,,
60,,Zeb1,Mest,Pard3,,,,Armcx4,Flrt3,Zfp946,,,A230046K03Rik,Herc2,Ankib1,,,,,,,,,,,,,A230046K03Rik,,,,A230046K03Rik,,,
61,,Trnt1,Flrt3,Sirt7,,,,Sass6,Smarca1,Ankrd26,,,Mphosph9,Cep290,Herc2,,,,,,,,,,,,,Mphosph9,,,,Lhfpl4,,,
62,,Dot1l,Smarca1,Zfp946,,,,AW047730,AI854517,A230046K03Rik,,,Ttc19,Dst,Zeb1,,,,,,,,,,,,,Lhfpl4,,,,Zswim6,,,
63,,Rrm2,Msi2,Ankrd26,,,,Rdh11,Msi2,Wwc1,,,Gfod2,B230354K17Rik,5830428H23Rik,,,,,,,,,,,,,9930021J03Rik,,,,Gtpbp2,,,
64,,Hirip3,Cbfa2t2,Prdx6,,,,Lig3,Birc6,Zfp40,,,Dnajc3,Dync2h1,,,,,,,,,,,,,,Bicd1,,,,Hes5,,,
65,,Nop14,Pard3,A230046K03Rik,,,,Ankrd17,Cbfa2t2,Chd7,,,Bicd1,Suco,,,,,,,,,,,,,,Cpne3,,,,Ap3b1,,,
66,,Pcf11,Sirt7,Ttc19,,,,Iqcb1,Arhgap21,Nrn1,,,Jarid2,Fut9,,,,,,,,,,,,,,Dgcr8,,,,Gfod2,,,
67,,Gpatch1,Tfcp2,Lhfpl4,,,,Btg2,Pard3,Pam,,,Cep110,Fam135a,,,,,,,,,,,,,,Pura,,,,Mt3,,,
68,,Gprasp2,Zfp946,Hes5,,,,Herc2,Tfcp2,Iqcb1,,,Cpne3,Tet1,,,,,,,,,,,,,,Rapgef6,,,,Rapgef6,,,
69,,H2afx,Prdx6,Jarid2,,,,Dzip1,Zfp946,Herc2,,,Dgcr8,Trmt13,,,,,,,,,,,,,,Tead2,,,,Herc2,,,
70,,Fam135a,A230046K03Rik,Dut,,,,Ttf1,A230046K03Rik,Ttf1,,,Herc2,Ank2,,,,,,,,,,,,,,A830082K12Rik,,,,Rgcc,,,
71,,Pknox1,Ttc19,Baz2b,,,,Pkn2,Wwc1,Rc3h2,,,Zeb1,Mlh3,,,,,,,,,,,,,,Asxl3,,,,Cep290,,,
72,,Ccdc174,Lhfpl4,Herc2,,,,Tada2a,Zfp40,Neurod1,,,B230354K17Rik,N6amt1,,,,,,,,,,,,,,Iqcb1,,,,Suco,,,
73,,Zdhhc17,Hes5,Zeb1,,,,Lrp8,Chd7,Dync2h1,,,Fut9,Cep250,,,,,,,,,,,,,,Cep290,,,,Fut9,,,
74,,4933411K20Rik,Ap3b1,Trnt1,,,,Trmt1,Nrn1,Nop14,,,Nop14,Zdhhc17,,,,,,,,,,,,,,Zfp711,,,,Mdn1,,,
75,,Rif1,Jarid2,Rc3h2,,,,5830428H23Rik,Iqcb1,Frmd4b,,,Gprasp2,Nol8,,,,,,,,,,,,,,Dot1l,,,,Tram1,,,
76,,Map3k7,Herc2,Wdfy1,,,,,Herc2,Phip,,,Rwdd3,Actr6,,,,,,,,,,,,,,Pcf11,,,,Fam135a,,,
77,,Trip11,Zeb1,Dot1l,,,,,Ttf1,Tet1,,,Trmt13,Map3k7,,,,,,,,,,,,,,Fam135a,,,,Tet2,,,
78,,Pkn2,Trnt1,Shisa2,,,,,Nop14,Tmx4,,,Krt10,Rbfox3,,,,,,,,,,,,,,Ubn1,,,,Golga1,,,
79,,Wnk1,Dot1l,Rrm2,,,,,Frmd4b,Hmgn5,,,Ate1,Wnk3,,,,,,,,,,,,,,March8,,,,Ddx10,,,
80,,Trmt1,Rrm2,Golgb1,,,,,Phip,Tsc22d4,,,Mlh3,Wnk1,,,,,,,,,,,,,,Ate1,,,,Ate1,,,
81,,,Tcf12,Nop14,,,,,Tet2,Dusp4,,,Zfp609,Fmnl2,,,,,,,,,,,,,,Zfp609,,,,Zfp609,,,
