,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
35,Hsp90b1,Rpl18a,Eef1a1,Rps25,Nop10,Rps25,Hdgf,Gpi1,Gpi1,Gpi1,Nop10,Rpl41,Rps27l,Itm2a,Rfc2,Rps27l,Rbm39,Spi1,Eva1b,Eva1b,Rps27l,Rps27l,Hdgf,Snap47,Rpl41,Rpl41,Cenpf,Adrb2,Aldh1l1,Myct1,Eid2,Pcmtd2
36,Lyar,H2afj,Rps25,Gpx1,Cbx3,Rps7,Rpl18a,Rpl41,Rpl41,Rpl41,Hmgn1,Nop10,Gpi1,Lysmd2,Rps27l,Rbm39,Rpl41,Neil3,Myct1,Myct1,Rbm39,Rbm39,Rpl18a,Insl6,Gpi1,Nop10,Egfl7,Zfand5,Herc6,Nap1l3,Eva1b,Ier5
37,Pcna,Rps26,Rps7,Rps7,Eef1a1,Hdgf,Rps26,Nop10,Nop10,Nop10,Cbx3,Hmgn1,Rpl41,Pik3ip1,Rbm39,Rpl41,Gpi1,Irf2bp2,Nap1l3,Nap1l3,Rpl41,Rpl41,H2afj,Itm2a,Hmgn1,Hmgn1,Nt5c3,Aldh1l1,Tceal1,Slc2a3,Myct1,Plxdc2
38,Tuba1b,Lmnb1,Hdgf,Hdgf,Rps25,Cmtm7,Lmnb1,Hmgn1,Hmgn1,Hmgn1,Tmbim6,Cbx3,Nop10,Npdc1,Rpl41,Gpi1,Hmgn1,Cks2,Slc2a3,Slc2a3,Gpi1,Gpi1,Rps26,Lysmd2,Pnp,Cbx3,Galnt6,Tceal1,Pnck,Adrb2,Nap1l3,Samsn1
39,Rps27l,Actb,Rpl18a,Rpl18a,Gpx1,Tyms,Eif5a,Nefh,Cbx3,Cbx3,Eef1a1,Tmbim6,Hmgn1,Vwf,Gpi1,Hmgn1,Pnp,Cd9,Adrb2,Adrb2,Srgn,Srgn,Lmnb1,Npdc1,Nop10,Tmbim6,Ifngr1,Pnck,Lst1,Aldh1l1,Slc2a3,Ccdc112
40,Rbm39,Bub3,Tyms,Tyms,Rps7,Rpl18a,Cd81,Cbx3,Tmbim6,Tmbim6,Rps25,Eef1a1,Cbx3,Pik3r1,Srgn,Nop10,Nop10,Ms4a2,Aldh1l1,Aldh1l1,Hmgn1,Hmgn1,Actb,Sla2,Cbx3,Eef1a1,Sox4,Lst1,Rec8,Ly75,Adrb2,Maged1
41,Rpl41,Eif5a,Rps26,Rps26,Hdgf,Rps26,Psmb10,Tmbim6,Eef1a1,Eef1a1,Manf,Rps25,Tmbim6,Chst13,Hmgn1,Cbx3,Cbx3,Zeb2,Ly75,Kit,Pnp,Nop10,Eif5a,Nfat5,Tmbim6,Manf,Atp8b4,Rec8,Insl6,Herc6,Aldh1l1,Icam4
42,Gpi1,Psmb10,Lmnb1,Lmnb1,Rpl18a,Lmnb1,Mrpl33,Eef1a1,Rps25,Rps25,Rps7,Manf,Eef1a1,Sla2,Nop10,Tmbim6,Tmbim6,Fermt3,Herc6,Btg1,Nop10,Cbx3,H2afz,Dennd1c,Eef1a1,Gpx1,Spi1,Tnfrsf18,Itm2a,Kit,Kit,Thap1
43,Pnp,H2afz,Eif5a,Eif5a,Rps26,Eif5a,Parp1,Rps25,Manf,Manf,Lamtor4,Rps7,Rps25,Cd63,Cbx3,Eef1a1,Eef1a1,Epdr1,Kit,Tceal1,Cbx3,Tmbim6,Psmb10,Tgm2,Manf,Rps7,Neil3,Insl6,Lysmd2,Tceal1,Btg1,Nol4l
44,Nefh,Parp1,Cd81,Cd81,Sdsl,Cd81,Cox8a,Manf,Rps7,Gpx1,Hdgf,Lamtor4,Manf,Nfat5,Tmbim6,Rps25,Rps25,Tspo2,Tceal1,Pnck,Tmbim6,Eef1a1,Mrpl33,Gkap1,Gpx1,Lamtor4,Ptprc,Itm2a,Ptms,Pnck,Tceal1,Pcp4l1
