,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
134,Dnajc3,2700094K13Rik,Atp5g1,Uqcrq,Ybx3,Atp5o,Hspa8,Ppdpf,Rpl21,Rpl22l1,Gpx4,Rpl22l1,Serf2,Ptrf,Ran,Serbp1,Rpl21,Cd52,Plxna4os1,Vgll4,Ppia,Ran,Clic1,Hoxb2,Rpl21,Rpl22l1,Mef2c,H2-Q6,B4galt6,Trp53i11,Cyp2j6,Fam134b
135,Clspn,Hspa8,Atp5o,mt-Atp6,Rps14,Dctpp1,Uqcrq,Serf2,Rpl22l1,Gpx4,Actr3,Gpx4,Rpl21,Mycn,Sp110,Serf2,Rpl22l1,Gse1,Trp53i11,Nfkbia,Rps21,Sp110,Dek,Znfx1,Rpl22l1,Gpx4,Xpc,B4galt6,Ppp2r3a,Nceh1,Vgll4,Upp1
136,Erdr1,Uqcrq,Dctpp1,Ndufa4,Rpl23,Dnaja1,mt-Atp6,Rpl21,Gpx4,Actr3,mt-Co1,Actr3,Rpl22l1,Emcn,Sec61b,Rpl21,Gpx4,Fam65a,Nceh1,Ldhb,Ran,Sec61b,Rps8,Tns1,Gpx4,Actr3,Ptpre,Ppp2r3a,Cyp2j6,Sgms1,Nfkbia,Tnfsf10
137,Ranbp1,mt-Atp6,Dnaja1,Rps9,Dek,Ifi47,Ndufa4,Rpl22l1,Actr3,mt-Co1,Tspo,mt-Co1,Gpx4,Maml2,Hmgb1,Rpl22l1,mt-Co1,Runx1,Sgms1,Ube2l6,Sp110,Hmgb1,Cycs,Maged2,Psip1,Psip1,Spc25,Cyp2j6,Vgll4,H2-Q6,Ldhb,Slamf1
138,Ap3s1,Ndufa4,Ifi47,Zfp706,Rps8,Hspa8,Rps9,Gpx4,mt-Co1,mt-Nd2,mt-Nd2,mt-Nd2,Actr3,Mast4,Nap1l1,Gpx4,Tspo,Nusap1,H2-Q6,Mdfi,Sec61b,Nap1l1,Capza2,Hbb-bt,Rpl30,Rpl30,Dntt,Vgll4,Ldhb,B4galt6,Ube2l6,Trp53i11
139,H3f3b,Zfp706,Hspa8,Naca,Cycs,Uqcrq,Zfp706,Actr3,mt-Nd2,Rpl30,Rpl30,Rpl30,mt-Co1,Rbp1,Pa2g4,Actr3,mt-Nd2,Steap3,B4galt6,Irgm2,Hmgb1,Pa2g4,Atp5g1,Prkcq,Dynll1,Dynll1,Prc1,Ldhb,Ube2l6,Cyp2j6,Mdfi,Sgms1
140,Rps21,Laptm4a,Uqcrq,Anp32b,Atp5g1,mt-Atp6,Naca,mt-Co1,Rpl30,Psip1,Psip1,Psip1,mt-Nd2,Hdgfrp3,Rps4x,mt-Co1,Psip1,Pf4,Cyp2j6,Adck3,Nap1l1,Rps4x,Atp5o,Gm19590,Lta4h,Lta4h,Nucb2,Ube2l6,Pdzk1ip1,Vgll4,Irgm2,Gna14
141,Ppia,Naca,mt-Atp6,Hsp90ab1,Atp5o,Ndufa4,Anp32b,mt-Nd2,Psip1,Dynll1,Dynll1,Dynll1,Rpl30,Dst,Serbp1,mt-Nd2,Rpl30,Ffar2,Vgll4,Trove2,Pa2g4,Serbp1,Dctpp1,G430095P16Rik,Krtcap2,Krtcap2,Lpcat2,Pdzk1ip1,Mdfi,Nfkbia,Adck3,Basp1
142,Ran,Anp32b,Ndufa4,Rps24,Dctpp1,Rps9,Hsp90ab1,Rpl30,Dynll1,Lta4h,Mbnl1,Lta4h,Psip1,Letm2,Serf2,Psip1,Dynll1,Lmo4,Nfkbia,Dusp28,Rps4x,Serf2,Dnaja1,Sertad3,Erh,Erh,Tfrc,Mdfi,Irgm2,Ldhb,Trove2,Gse1
143,Sec61b,Hsp90ab1,Rps9,Hnrnpa3,Dnaja1,Zfp706,Rps24,Psip1,Lta4h,Krtcap2,Krtcap2,Krtcap2,Dynll1,Zfhx3,Rpl21,Rpl30,Lta4h,Hist2h2ac,Ldhb,Rgs1,Serbp1,Rpl21,2700094K13Rik,Sepp1,Fam49b,Fam49b,Plek,Irgm2,Adck3,Ube2l6,Dusp28,Emcn
144,Hmgb1,Rps9,Zfp706,Nolc1,Hspa8,Naca,Hnrnpa3,Dynll1,Krtcap2,Fam49b,Fam49b,Fam49b,Lta4h,1700040L02Rik,Rpl22l1,Dynll1,Krtcap2,P2ry14,Ube2l6,Rgag4,Serf2,Rpl22l1,Hspa8,Hoxa5,Rpl10a,Rpl10a,Gna14,Adck3,Ly6a,Mdfi,Rgs1,Rbp1
145,Zfpm1,Rps24,Naca,Nsa2,Uqcrq,Anp32b,Nolc1,Mbnl1,Fam49b,Erh,Erh,Mbnl1,Krtcap2,Gimap5,Gpx4,Lta4h,Erh,Ddah2,Mdfi,Sgce,Rpl21,Gpx4,Uqcrq,Mkl2,Sh3glb1,Mcm3,Treml1,Trove2,Dusp28,Irgm2,Rgag4,Cd59a
146,Nap1l1,Hnrnpa3,Anp32b,mt-Cytb,mt-Atp6,Hsp90ab1,Nsa2,Krtcap2,Mbnl1,Rpl10a,Rpl10a,Erh,Fam49b,Hoxb2,mt-Co1,Krtcap2,Fam49b,Rab27b,Irgm2,Cnrip1,Rpl22l1,mt-Co1,mt-Atp6,Neurl3,Mcm3,Hspd1,Tm6sf1,Dusp28,Rgs1,Adck3,Sgce,Kctd1
147,Pa2g4,Nsa2,Hsp90ab1,Snrpf,Ndufa4,Rps24,mt-Cytb,Fam49b,Erh,Mcm3,Mcm3,Rpl10a,Mbnl1,Tcp11l2,mt-Nd2,Erh,Rpl10a,Trib2,Adck3,Arhgef12,Gpx4,Tspo,Ndufa4,Csgalnact1,Hspd1,Psme1,Lockd,Rgs1,Rgag4,Ly6a,Cnrip1,Prkcq
148,Rps4x,Nolc1,Rps24,Eif4a1,Rps9,Hnrnpa3,Snrpf,Erh,Rpl10a,Hspd1,Hspd1,Mcm3,Erh,Tbkbp1,Psip1,Fam49b,Mcm3,Ap3s1,Ly6a,Mycn,Med21,mt-Nd2,Zfp706,Mylip,Plp2,Ssr2,Gp9,Rgag4,Trove2,Dusp28,Arhgef12,Sepp1
149,Lmo2,mt-Cytb,Gatad1,Slbp,Zfp706,Nolc1,Eif4a1,Rpl10a,Mcm3,Psme1,Psme1,Hspd1,Rpl10a,Angpt1,Rpl30,Rpl10a,Hspd1,Csf2rb,Dusp28,Parp11,mt-Co1,Psip1,Laptm4a,Crebrf,Ssr2,Npm1,Git2,Sgce,Sgce,Rgs1,Mycn,Slc22a3
150,Serbp1,Snrpf,Hnrnpa3,Gapdh,Ctr9,Nsa2,Chd4,Mcm3,Hspd1,Ssr2,Ssr2,Psme1,Mcm3,Myl10,Dynll1,Mcm3,Psme1,Klf1,Rgs1,Emcn,Tspo,Rpl30,Naca,Ogt,Psme1,Rps5,Cd52,Cnrip1,Cnrip1,Rgag4,Parp11,Crebrf
151,Ppdpf,Eif4a1,Nolc1,Prdx6,Naca,mt-Cytb,Slbp,Hspd1,Psme1,mt-Nd1,mt-Nd1,Ssr2,Hspd1,Maged2,Lta4h,Hspd1,Ssr2,Knstrn,Rgag4,Maml2,mt-Nd2,Dynll1,Anp32b,Endov,Npm1,Gmnn,Gse1,Ptrf,Ptrf,Trove2,Emcn,Gata2
152,Serf2,Slbp,Nsa2,mt-Co3,Anp32b,Snrpf,Prdx6,Psme1,Ssr2,Anp32e,Anp32e,mt-Nd1,Psme1,Hbb-bt,Krtcap2,Psme1,mt-Nd1,Hist1h3c,Trove2,Mast4,Psip1,Lta4h,Hsp90ab1,Mettl7a1,Rps5,Rpn1,Fam65a,Mycn,Mycn,Nmi,Maml2,Lztfl1
153,Rpl21,Rpl24,mt-Cytb,Rpl24,Hsp90ab1,Eif4a1,mt-Co3,Ssr2,mt-Nd1,Npm1,Npm1,Anp32e,Ssr2,Prkcq,Erh,Ssr2,Anp32e,Itga4,Nmi,Rbp1,Rpl30,Krtcap2,Tln1,Itih5,Gmnn,Actg1,Clec12a,S1pr1,Emcn,Sgce,Mast4,Mettl7a1
154,Rpl22l1,Prdx6,Snrpf,H2-K1,Rps24,Chd4,Gapdh,mt-Nd1,Anp32e,Rps5,Rps5,Npm1,mt-Nd1,Plekhm2,Fam49b,mt-Nd1,Npm1,Zfpm1,Sgce,Hdgfrp3,Dynll1,Erh,Rps9,Crebl2,Rpn1,Lig1,Nusap1,Maml2,Maml2,Cnrip1,Rbp1,Itih5
155,Gpx4,mt-Co3,Eif4a1,Hnrnpd,Hnrnpa3,Slbp,Rpl24,Anp32e,Npm1,Gmnn,Gmnn,Rps5,Anp32e,Sat1,Mbnl1,Anp32e,Rps5,Lgals1,Cnrip1,Dst,Lta4h,Fam49b,Rps24,Abcg1,Actg1,Rplp1,Runx1,Mast4,Mast4,Arhgef12,Hdgfrp3,Kcnk5
156,Actr3,Hnrnpd,Chd4,Metap2,Nolc1,Prdx6,Hnrnpd,Npm1,Rps5,Rpn1,Rpn1,Fam96a,Npm1,Gm19590,Rpl10a,Npm1,Gmnn,Car1,Arhgef12,Letm2,Krtcap2,Mbnl1,Nucks1,Uvssa,Lig1,Rexo2,Ffar2,Emcn,Rbp1,Mycn,Dst,Slc18a2
157,mt-Co1,Phgdh,Slbp,Phgdh,Nsa2,mt-Co3,H2-K1,Rps5,Fam96a,Actg1,Mrpl52,Gmnn,Rps5,G430095P16Rik,Mcm3,Rps5,Rpn1,Hist1h2bj,Grn,Zfhx3,Erh,Rpl10a,Hnrnpa3,Cela1,Cst3,Alyref,Lmo4,Hdgfrp3,Hdgfrp3,Emcn,Letm2,Meis1
158,Tspo,H2afv,Prdx6,mt-Co2,mt-Cytb,Gapdh,Metap2,Gmnn,Gmnn,Lig1,Actg1,Rpn1,Fam96a,Sertad3,Hspd1,Gmnn,Actg1,Pbk,Mycn,1700040L02Rik,Fam49b,Mcm3,Nsa2,Kcnk5,Rplp1,Ybx3,Hist2h2ac,Rbp1,Dst,Maml2,Zfhx3,Grik5
159,mt-Nd2,H2-D1,mt-Co3,Fabp5,Snrpf,Rpl24,Phgdh,Rpn1,Rpn1,Rplp1,Lig1,Actg1,Gmnn,Ypel3,Psme1,Rpn1,Lig1,Gata1,Emcn,Gimap5,Mbnl1,Hspd1,Nolc1,Gstt1,Taldo1,Rps14,9930111J21Rik2,Dst,Letm2,Mast4,1700040L02Rik,Gm15261
160,Rpl30,mt-Co2,Gapdh,Atad2,Eif4a1,Hnrnpd,mt-Co2,Mrpl52,Actg1,Rexo2,Cst3,Lig1,Rpn1,Sepp1,Ssr2,Actg1,Cst3,Unc119,Maml2,Hoxb2,Rpl10a,Psme1,mt-Cytb,Lpin1,Rexo2,Rpl23,P2ry14,Letm2,Zfhx3,Rbp1,Gimap5,Gsta4
161,H2afy,Hn1,Rpl24,Rpl36,Slbp,H2-K1,Fabp5,Actg1,Lig1,Atrx,Rplp1,Rplp1,Actg1,Mmrn1,mt-Nd1,Lig1,Rplp1,Hmmr,Mast4,Tcp11l2,Mcm3,Ssr2,Snrpf,Fam84b,Alyref,Clic1,2810474O19Rik,Zfhx3,1700040L02Rik,Hdgfrp3,Hoxb2,Camk1d
162,Dynll1,Fabp5,Hnrnpd,Mcm6,Gapdh,Metap2,Creg1,Lig1,Rplp1,Alyref,Taldo1,Rexo2,Lig1,Clu,Anp32e,Rplp1,Rexo2,Cenpa,Rbp1,Tbkbp1,Hspd1,mt-Nd1,Eif4a1,Meis1,Tuba4a,Hspa5,Ctss,1700040L02Rik,Gimap5,Dst,Tcp11l2,Calcrl
163,Psip1,Atad2,H2-K1,Rpl37,Prdx6,Phgdh,Atad2,Rplp1,Hmgb3,Ybx3,Rexo2,Atrx,Rplp1,Hoxa5,Npm1,Rexo2,Alyref,Napsa,Hdgfrp3,Znfx1,Psme1,Anp32e,Slbp,Pard3b,Ybx3,Rps8,Ddah2,Gimap5,Hoxb2,Letm2,Tbkbp1,Pla2g16
164,Krtcap2,Rpl36,Metap2,Ppp1r14b,mt-Co3,mt-Co2,Rpl36,Hmgb3,Rexo2,Rps14,Alyref,Alyref,Rexo2,Arhgef5,Rps5,Alyref,Ybx3,H2afx,Dst,Mgst3,Ssr2,Npm1,Gapdh,Grik5,Sepw1,Tmed3,Trib2,Tcp11l2,Tcp11l2,Zfhx3,Znfx1,Prkcdbp
165,Fam49b,Mcm6,Phgdh,Prdx2,Rpl24,Fabp5,Mcm6,Rexo2,Atrx,Rpl23,Ybx3,Ybx3,Atrx,Mkl2,Gmnn,Ybx3,Sepw1,Cst7,Letm2,Maged2,mt-Nd1,Rps5,Prdx6,F11r,Rps14,Cycs,Ap3s1,Tbkbp1,Tbkbp1,1700040L02Rik,Mgst3,Slc45a3
166,Erh,Gnai2,Khk,Hsp90aa1,H2-K1,Creg1,Rpl37,Alyref,Alyref,Rrbp1,Sepw1,Rps14,Alyref,Neurl3,Rpn1,Rps14,Rps14,Hist2h2bb-1,Zfhx3,Hbb-bt,Anp32e,Gmnn,mt-Co3,Fam73a,Rpl23,Capza2,Csf2rb,Hoxb2,Znfx1,Gimap5,Maged2,Mcpt8
167,Rpl10a,Rpl37,mt-Co2,Tgfb1,Hnrnpd,Atad2,Ppp1r14b,Ybx3,Ybx3,Clic1,Rps14,Rpl23,Ybx3,Csgalnact1,Actg1,Rpl23,Rpl23,Ifi27,1700040L02Rik,Tns1,Npm1,Rpn1,Rpl24,Cers4,Clic1,Atp5g1,Klf1,Znfx1,Maged2,Hoxb2,Hbb-bt,Gm15658
168,Sh3glb1,Ppp1r14b,Fabp5,Nme1,Metap2,Rpl36,Prdx2,Sepw1,Rps14,Hspa5,Rpl23,Rrbp1,Rps14,Irf1,Fxyd5,Clic1,Clic1,Il1rl1,Gimap5,Samhd1,Rps5,Actg1,Hnrnpd,Gm11837,Hspa5,Atp5o,Pyhin1,Ptgs1,Hbb-bt,Tcp11l2,Tns1,Gchfr
169,Mcm3,Prdx2,Creg1,Rbm3,Phgdh,Mcm6,Hsp90aa1,Rps14,Rpl23,Dek,Rrbp1,Clic1,Rpl23,Socs2,Lig1,Hspa5,Hspa5,Itga2b,Hoxb2,Gm19590,Gmnn,Fxyd5,Metap2,Dkkl1,Rps8,Dctpp1,Knstrn,Maged2,Samhd1,Tbkbp1,Samhd1,Itsn1
170,Hspd1,Hsp90aa1,Atad2,Rpl38,mt-Co2,Rpl37,Tgfb1,Rpl23,Rrbp1,Rps8,Clic1,Hspa5,Mospd3,Crebrf,Rplp1,Dek,Dek,Ckap2l,Tcp11l2,G430095P16Rik,Rpn1,Lig1,Phgdh,Vldlr,Tmed3,Dnaja1,Hist1h3c,Mgst3,Shisa5,Znfx1,Gm19590,Crim1
171,Psme1,Tgfb1,Rpl36,Rps20,Fabp5,Ppp1r14b,Nme1,Rrbp1,Clic1,Tmed3,Hspa5,Dek,Rrbp1,Anxa5,Sh3bgrl3,Rps8,Rps8,Cdkn2d,Tbkbp1,Sertad3,Actg1,Cst3,H2afv,Txnip,Cycs,Hspa8,Itga4,Prkcq,Gm19590,Maged2,G430095P16Rik,Tbxa2r
172,Ssr2,Sfpq,Mcm6,Hspe1,Creg1,Prdx2,Rbm3,Clic1,Hspa5,Cycs,Dek,Rps8,Clic1,Armc3,Rexo2,Tmed3,Tmed3,Gadd45a,Znfx1,Sepp1,Fxyd5,Rplp1,H2-D1,Gsta4,Capza2,Uqcrq,Pou2f2,Hbb-bt,Sertad3,Psd3,Sertad3,Trim34a
173,mt-Nd1,Emp3,Rpl37,Hnrnpab,Atad2,Hsp90aa1,Rpl38,Hspa5,Dek,Capza2,Rps8,Tmed3,Hspa5,Mettl7a1,Alyref,Cycs,Cycs,Dok2,Maged2,Mmrn1,Lig1,Sh3bgrl3,mt-Co2,Smim6,Atp5g1,Laptm4a,Zfpm1,Samhd1,Sepp1,Hbb-bt,Sepp1,Cd74
174,Anp32e,Nme1,Ppp1r14b,Syce2,Rpl36,Tgfb1,Rps20,Dek,Rps8,Atp5g1,Tmed3,Cycs,Dek,Itih5,Ybx3,Capza2,Capza2,Selplg,Hbb-bt,Hoxa5,Cst3,Rexo2,Hn1,Cuedc1,Atp5o,Ndufa4,Lcp1,Gm19590,Mmrn1,Samhd1,Mmrn1,Rhof
175,Npm1,Rbm3,Prdx2,Mcm7,Mcm6,Nme1,Hspe1,Rps8,Tmed3,Atp5o,Cycs,Capza2,Rps8,Crebl2,Sepw1,Atp5g1,Atp5g1,Lpin2,Samhd1,Arhgef5,Rplp1,Alyref,Fabp5,Gem,Dctpp1,Zfp706,Lgals1,Sertad3,Hoxa5,Sat1,Hoxa5,Nfkbiz
176,Rps5,Rpl38,Hsp90aa1,Rplp0,Rpl37,Rbm3,Hnrnpab,Tmed3,Cycs,Dctpp1,Atp5g1,Atp5g1,Tmed3,Abcg1,Rps14,Atp5o,Atp5o,Hdc,Sat1,Mkl2,Sh3bgrl3,Ybx3,Atad2,Krt18,Dnaja1,Rps9,Car1,Sepp1,Arhgef5,Shisa5,Arhgef5,Tcf15
177,Gmnn,Rps20,Tgfb1,Rpl27,Ppp1r14b,Rpl38,Syce2,Cycs,Capza2,Dnaja1,Atp5o,Atp5o,Cycs,Uvssa,Rpl23,Dctpp1,Dctpp1,Racgap1,Shisa5,Neurl3,Rexo2,Sepw1,Rpl36,Nrxn1,Hspa8,Naca,Hist1h2bj,Mmrn1,Mkl2,Gm19590,Mkl2,Rcn3
178,Rpn1,Hspe1,Nme1,B2m,Prdx2,Rps20,Mcm7,Atp5g1,Atp5g1,2700094K13Rik,Dctpp1,Dctpp1,Capza2,Vat1,Clic1,Dnaja1,Dnaja1,Cebpa,Gm19590,Csgalnact1,Alyref,Rps14,Mcm6,Mllt4,Uqcrq,Anp32b,Pbk,Hoxa5,Neurl3,Sertad3,Neurl3,Ctla2a
179,Actg1,Hnrnpab,Rbm3,H3f3a,Hsp90aa1,Hspe1,Rplp0,Atp5o,Atp5o,Hspa8,Dnaja1,Dnaja1,Atp5g1,Kcnk5,Hspa5,Hspa8,Hspa8,Gata2,Sertad3,Socs2,Ybx3,Rpl23,Gnai2,Pla2g16,Laptm4a,Hsp90ab1,Gata1,Arhgef5,Csgalnact1,Sepp1,Csgalnact1,Zbtb20
180,Lig1,Syce2,Rpl38,Rpl14,Tgfb1,Hnrnpab,Rpl27,Dctpp1,Dctpp1,Laptm4a,2700094K13Rik,2700094K13Rik,Atp5o,Ryk,Dek,Uqcrq,Uqcrq,Hist1h2an,Sepp1,Mylip,Sepw1,Clic1,Rpl37,P3h3,Ndufa4,Rps24,Mt1,Mkl2,Socs2,Mmrn1,Socs2,Pnrc1
181,Cst3,Mcm7,Rps20,Rpl13,Nme1,Xist,B2m,Dnaja1,Dnaja1,mt-Atp6,Hspa8,Hspa8,Dctpp1,Gstt1,Rps8,mt-Atp6,mt-Atp6,Kif22,Mmrn1,Crebrf,Rps14,Hspa5,Ppp1r14b,Gprc5b,Zfp706,Hnrnpa3,Unc119,Neurl3,Mylip,Hoxa5,Mylip,H2-Oa
182,Rplp1,Rplp0,Hspe1,,Rbm3,Syce2,H3f3a,Hspa8,Hspa8,Ndufa4,Uqcrq,Uqcrq,Dnaja1,Lpin1,Tmed3,Ndufa4,Ndufa4,Hemgn,Hoxa5,Ogt,Rpl23,Dek,Prdx2,Prkcdbp,Rps9,Nsa2,Notch1,Csgalnact1,Gsn,Arhgef5,Crebrf,Stx3
183,Taldo1,Rpl27,Hnrnpab,,Rpl38,Mcm7,Rpl14,Uqcrq,Uqcrq,Rps9,mt-Atp6,mt-Atp6,2700094K13Rik,Hoxa10,Cycs,Zfp706,Zfp706,Ccnb2,Arhgef5,Anxa5,Clic1,Rps8,Hsp90aa1,Rufy2,Naca,Nolc1,Hmmr,Socs2,Crebrf,Mkl2,Anxa5,Paqr5
184,Hmgb3,B2m,Xist,,Rps20,Rplp0,Rpl13,mt-Atp6,mt-Atp6,Zfp706,Ndufa4,Ndufa4,Hspa8,Ppp1r15a,Capza2,Rps9,Rps9,Fzr1,Mkl2,Endov,Hspa5,Tmed3,Tgfb1,Ctla2b,Anp32b,Snrpf,F630028O10Rik,Mylip,Anxa5,Neurl3,Endov,P2rx4
185,Npc2,H3f3a,Syce2,,Hspe1,Rpl27,,Ndufa4,Ndufa4,Naca,Rps9,Rps9,Laptm4a,Fam84b,Atp5g1,Naca,Naca,Serpinb1a,Neurl3,Armc3,Dek,Cycs,Sfpq,Mecom,Hsp90ab1,Eif4a1,Cenpa,Crebrf,Armc3,Csgalnact1,Armc3,Rras
186,Rexo2,Rpl14,Mcm7,,Hnrnpab,B2m,,Rps9,Rps9,Anp32b,Zfp706,Zfp706,mt-Atp6,Pard3b,Atp5o,Anp32b,Anp32b,Hist1h4h,Csgalnact1,Mettl7a1,Rps8,Capza2,Emp3,A630072M18Rik,Rps24,Slbp,Napsa,Anxa5,Itih5,Socs2,Mettl7a1,Tsc22d3
187,Alyref,Rpl13,Rplp0,,Syce2,H3f3a,,Zfp706,Zfp706,Uqcrq,Naca,Naca,Ndufa4,Epb41l4b,Dctpp1,Hsp90ab1,Hsp90ab1,Frat2,Socs2,Itih5,Tmed3,Atp5g1,Nme1,Pim2,Hnrnpa3,Gapdh,H2afx,Armc3,Crebl2,Mylip,Itih5,Ier3
188,Tuba4a,,Rpl27,,Mcm7,Rpl14,,Naca,Naca,Hsp90ab1,Anp32b,Anp32b,Rps9,Prr13,Dnaja1,Rps24,Rps24,Fcer1g,Mylip,Crebl2,Cycs,Atp5o,Rbm3,Gcnt2,Nsa2,Prdx6,Cst7,Mettl7a1,Abcg1,Oas1a,Crebl2,Trim47
189,Ybx3,,B2m,,Rplp0,Psmb8,,Anp32b,Anp32b,Tln1,Hsp90ab1,Hsp90ab1,Zfp706,Grik5,Ifi47,Hnrnpa3,Hnrnpa3,Plk1,Oas1a,Uvssa,Capza2,Dctpp1,Rpl38,Pglyrp2,Nolc1,Rpl24,Hist2h2bb-1,Itih5,Uvssa,Crebrf,Abcg1,Maml3
190,Sepw1,,H3f3a,,Rpl27,Rpl13,,Hsp90ab1,Hsp90ab1,Rps24,Tln1,Tln1,Naca,Nfia,Hspa8,Nsa2,Nsa2,1700097N02Rik,Crebrf,Kcnk5,Atp5g1,Dnaja1,Rps20,Gata3,Snrpf,H2-K1,Ifi27,Crebl2,Alcam,Gsn,Uvssa,Jakmip1
191,Rps14,,Rpl14,,B2m,,,Tln1,Tln1,Hnrnpa3,Rps24,Rps24,Anp32b,F11r,Uqcrq,Nolc1,Nolc1,Slc18a2,Ogt,Ryk,Atp5o,Ifi47,Hspe1,Gchfr,Eif4a1,Hnrnpd,Il1rl1,Abcg1,Kcnk5,Anxa5,Kcnk5,Fut8
192,Bst2,,Psmb8,,H3f3a,,,Rps24,Rps24,Nolc1,Nucks1,Hnrnpa3,Uqcrq,Cers4,mt-Atp6,mt-Cytb,mt-Cytb,Kcng2,Anxa5,Lpin1,Dctpp1,Hspa8,Hnrnpab,Itsn1,Slbp,Metap2,Itga2b,Uvssa,Ttc3,Endov,Ryk,Foxo3
193,Rpl23,,Rpl13,,Rpl14,,,Nucks1,Gatad1,Nsa2,Hnrnpa3,Nolc1,Hsp90ab1,Klf7,Ndufa4,Snrpf,Snrpf,Vezf1,Endov,S100a4,Dnaja1,Uqcrq,Syce2,Il18,Gapdh,Phgdh,Ckap2l,Kcnk5,Ryk,Armc3,Ttc3,Sugp2
194,Idi1,,,,Rpl13,,,Prdx4,Hnrnpa3,mt-Cytb,Nolc1,Nsa2,Tln1,Bex4,Zfp706,Eif4a1,Eif4a1,Fyb,Armc3,Fos,Ifi47,mt-Atp6,Mcm7,Insig1,Prdx6,H2-D1,Cdkn2d,Ryk,Gstt1,Itih5,Lpin1,Osbpl1a
195,Rrbp1,,,,,,,Hnrnpa3,Nolc1,Snrpf,Nsa2,mt-Cytb,Rps24,Smarca2,Rps9,Slbp,Slbp,Rab37,Itih5,Ppp1r15a,Hspa8,Ndufa4,Rplp0,Cd74,Rpl24,Pdia3,Il1r1,Ttc3,S100a4,Crebl2,S100a4,Fam189b
196,Clic1,,,,,,,Nolc1,Nsa2,Eif4a1,mt-Cytb,Snrpf,Hnrnpa3,Fam101b,Naca,Gapdh,Gapdh,Sept1,Crebl2,Hoxa10,Uqcrq,Zfp706,Rpl27,Rab6b,H2-K1,Tk1,Selplg,Gstt1,Fos,Abcg1,Fos,Rab38
197,Hspa5,,,,,,,mt-Cytb,mt-Cytb,Slbp,Snrpf,Eif4a1,Nolc1,Fnbp1l,Anp32b,Prdx6,Prdx6,Fbxo5,Uvssa,Fam84b,mt-Atp6,Rps9,B2m,Art4,Hnrnpd,Fabp5,H2afy,Lpin1,Hoxa10,Uvssa,Ppp1r15a,Pnck
198,Dek,,,,,,,Nsa2,Snrpf,Gapdh,Eif4a1,Chd4,Nsa2,Gm11837,Hsp90ab1,mt-Co3,mt-Co3,Gm17590,Alcam,Pard3b,Ndufa4,Naca,H3f3a,Cttn,Metap2,Tmem258,Hdc,S100a4,Fam84b,Alcam,Hoxa10,Nrgn
199,Rps8,,,,,,,Snrpf,Eif4a1,Prdx6,Chd4,Slbp,mt-Cytb,Ier2,Rps24,Rpl24,Rpl24,E2f8,Kcnk5,Prr13,Zfp706,Anp32b,Rpl14,Rhof,Phgdh,Atad2,Racgap1,Fos,Mitd1,Kcnk5,Fam84b,Rec8
200,Tmed3,,,,,,,Eif4a1,Chd4,mt-Co3,Slbp,Prdx6,Snrpf,Txnip,Hnrnpa3,H2-K1,H2-K1,Cks1b,Ryk,Grik5,Rps9,Hsp90ab1,Rpl13,Myo1c,H2-D1,Rpl36,Cebpa,Hoxa10,Grik5,Ttc3,Pard3b,Clec11a
201,Cycs,,,,,,,Chd4,Slbp,Rpl24,Prdx6,mt-Co3,Eif4a1,Dkkl1,Nsa2,Hnrnpd,Hnrnpd,Samd14,Gstt1,Nfia,Naca,Rps24,,Gm12216,Pdia3,Mcm6,Gata2,Fam84b,Nfia,Ryk,Prr13,Npdc1
202,Atp5g1,,,,,,,Slbp,Prdx6,H2-K1,mt-Co3,Gapdh,Chd4,Gm15261,Nolc1,Metap2,Metap2,Zg16,S100a4,F11r,Anp32b,Hnrnpa3,,Wbscr27,Tk1,Gnai2,Hist1h2an,Meis1,F11r,Gstt1,Grik5,Rbpms2
